ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC1117EW0104,Count,Person,"33 oed, Gwrywod"
DC1117EW0105,Count,Person,"33 oed, Benywod"
DC1117EW0106,Count,Person,"34 oed, Pob categori: Rhyw"
DC1117EW0107,Count,Person,"34 oed, Gwrywod"
DC1117EW0108,Count,Person,"34 oed, Benywod"
DC1117EW0109,Count,Person,"35 oed, Pob categori: Rhyw"
DC1117EW0110,Count,Person,"35 oed, Gwrywod"
DC1117EW0111,Count,Person,"35 oed, Benywod"
DC1117EW0112,Count,Person,"36 oed, Pob categori: Rhyw"
DC1117EW0113,Count,Person,"36 oed, Gwrywod"
DC1117EW0114,Count,Person,"36 oed, Benywod"
DC1117EW0115,Count,Person,"37 oed, Pob categori: Rhyw"
DC1117EW0116,Count,Person,"37 oed, Gwrywod"
DC1117EW0117,Count,Person,"37 oed, Benywod"
DC1117EW0118,Count,Person,"38 oed, Pob categori: Rhyw"
DC1117EW0119,Count,Person,"38 oed, Gwrywod"
DC1117EW0120,Count,Person,"38 oed, Benywod"
DC1117EW0121,Count,Person,"39 oed, Pob categori: Rhyw"
DC1117EW0122,Count,Person,"39 oed, Gwrywod"
DC1117EW0123,Count,Person,"39 oed, Benywod"
DC1117EW0124,Count,Person,"40 oed, Pob categori: Rhyw"
DC1117EW0125,Count,Person,"40 oed, Gwrywod"
DC1117EW0126,Count,Person,"40 oed, Benywod"
DC1117EW0127,Count,Person,"41 oed, Pob categori: Rhyw"
DC1117EW0128,Count,Person,"41 oed, Gwrywod"
DC1117EW0129,Count,Person,"41 oed, Benywod"
DC1117EW0130,Count,Person,"42 oed, Pob categori: Rhyw"
DC1117EW0131,Count,Person,"42 oed, Gwrywod"
DC1117EW0132,Count,Person,"42 oed, Benywod"
DC1117EW0133,Count,Person,"43 oed, Pob categori: Rhyw"
DC1117EW0134,Count,Person,"43 oed, Gwrywod"
DC1117EW0135,Count,Person,"43 oed, Benywod"
DC1117EW0136,Count,Person,"44 oed, Pob categori: Rhyw"
DC1117EW0137,Count,Person,"44 oed, Gwrywod"
DC1117EW0138,Count,Person,"44 oed, Benywod"
DC1117EW0139,Count,Person,"45 oed, Pob categori: Rhyw"
DC1117EW0140,Count,Person,"45 oed, Gwrywod"
DC1117EW0141,Count,Person,"45 oed, Benywod"
DC1117EW0142,Count,Person,"46 oed, Pob categori: Rhyw"
DC1117EW0143,Count,Person,"46 oed, Gwrywod"
DC1117EW0144,Count,Person,"46 oed, Benywod"
DC1117EW0145,Count,Person,"47 oed, Pob categori: Rhyw"
DC1117EW0146,Count,Person,"47 oed, Gwrywod"
DC1117EW0147,Count,Person,"47 oed, Benywod"
DC1117EW0148,Count,Person,"48 oed, Pob categori: Rhyw"
DC1117EW0149,Count,Person,"48 oed, Gwrywod"
DC1117EW0150,Count,Person,"48 oed, Benywod"
DC1117EW0151,Count,Person,"49 oed, Pob categori: Rhyw"
DC1117EW0152,Count,Person,"49 oed, Gwrywod"
DC1117EW0153,Count,Person,"49 oed, Benywod"
DC1117EW0154,Count,Person,"50 oed, Pob categori: Rhyw"
