ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
DC1117EW0118,Count,Person,"Age 38, All categories: Sex"
DC1117EW0119,Count,Person,"Age 38, Males"
DC1117EW0120,Count,Person,"Age 38, Females"
DC1117EW0121,Count,Person,"Age 39, All categories: Sex"
DC1117EW0122,Count,Person,"Age 39, Males"
DC1117EW0123,Count,Person,"Age 39, Females"
DC1117EW0124,Count,Person,"Age 40, All categories: Sex"
DC1117EW0125,Count,Person,"Age 40, Males"
DC1117EW0126,Count,Person,"Age 40, Females"
DC1117EW0127,Count,Person,"Age 41, All categories: Sex"
DC1117EW0128,Count,Person,"Age 41, Males"
DC1117EW0129,Count,Person,"Age 41, Females"
DC1117EW0130,Count,Person,"Age 42, All categories: Sex"
DC1117EW0131,Count,Person,"Age 42, Males"
DC1117EW0132,Count,Person,"Age 42, Females"
DC1117EW0133,Count,Person,"Age 43, All categories: Sex"
DC1117EW0134,Count,Person,"Age 43, Males"
DC1117EW0135,Count,Person,"Age 43, Females"
DC1117EW0136,Count,Person,"Age 44, All categories: Sex"
DC1117EW0137,Count,Person,"Age 44, Males"
DC1117EW0138,Count,Person,"Age 44, Females"
DC1117EW0139,Count,Person,"Age 45, All categories: Sex"
DC1117EW0140,Count,Person,"Age 45, Males"
DC1117EW0141,Count,Person,"Age 45, Females"
DC1117EW0142,Count,Person,"Age 46, All categories: Sex"
DC1117EW0143,Count,Person,"Age 46, Males"
DC1117EW0144,Count,Person,"Age 46, Females"
DC1117EW0145,Count,Person,"Age 47, All categories: Sex"
DC1117EW0146,Count,Person,"Age 47, Males"
DC1117EW0147,Count,Person,"Age 47, Females"
DC1117EW0148,Count,Person,"Age 48, All categories: Sex"
DC1117EW0149,Count,Person,"Age 48, Males"
DC1117EW0150,Count,Person,"Age 48, Females"
DC1117EW0151,Count,Person,"Age 49, All categories: Sex"
DC1117EW0152,Count,Person,"Age 49, Males"
DC1117EW0153,Count,Person,"Age 49, Females"
DC1117EW0154,Count,Person,"Age 50, All categories: Sex"
DC1117EW0155,Count,Person,"Age 50, Males"
DC1117EW0156,Count,Person,"Age 50, Females"
DC1117EW0157,Count,Person,"Age 51, All categories: Sex"
DC1117EW0158,Count,Person,"Age 51, Males"
DC1117EW0159,Count,Person,"Age 51, Females"
DC1117EW0160,Count,Person,"Age 52, All categories: Sex"
DC1117EW0161,Count,Person,"Age 52, Males"
DC1117EW0162,Count,Person,"Age 52, Females"
DC1117EW0163,Count,Person,"Age 53, All categories: Sex"
DC1117EW0164,Count,Person,"Age 53, Males"
DC1117EW0165,Count,Person,"Age 53, Females"
DC1117EW0166,Count,Person,"Age 54, All categories: Sex"
DC1117EW0167,Count,Person,"Age 54, Males"
DC1117EW0168,Count,Person,"Age 54, Females"
DC1117EW0169,Count,Person,"Age 55, All categories: Sex"
DC1117EW0170,Count,Person,"Age 55, Males"
DC1117EW0171,Count,Person,"Age 55, Females"
DC1117EW0172,Count,Person,"Age 56, All categories: Sex"
DC1117EW0173,Count,Person,"Age 56, Males"
DC1117EW0174,Count,Person,"Age 56, Females"
DC1117EW0175,Count,Person,"Age 57, All categories: Sex"
DC1117EW0176,Count,Person,"Age 57, Males"
DC1117EW0177,Count,Person,"Age 57, Females"
DC1117EW0178,Count,Person,"Age 58, All categories: Sex"
DC1117EW0179,Count,Person,"Age 58, Males"
DC1117EW0180,Count,Person,"Age 58, Females"
DC1117EW0181,Count,Person,"Age 59, All categories: Sex"
DC1117EW0182,Count,Person,"Age 59, Males"
DC1117EW0183,Count,Person,"Age 59, Females"
DC1117EW0184,Count,Person,"Age 60, All categories: Sex"
DC1117EW0185,Count,Person,"Age 60, Males"
DC1117EW0186,Count,Person,"Age 60, Females"
DC1117EW0187,Count,Person,"Age 61, All categories: Sex"
DC1117EW0188,Count,Person,"Age 61, Males"
DC1117EW0189,Count,Person,"Age 61, Females"
DC1117EW0190,Count,Person,"Age 62, All categories: Sex"
DC1117EW0191,Count,Person,"Age 62, Males"
DC1117EW0192,Count,Person,"Age 62, Females"
DC1117EW0193,Count,Person,"Age 63, All categories: Sex"
DC1117EW0194,Count,Person,"Age 63, Males"
DC1117EW0195,Count,Person,"Age 63, Females"
DC1117EW0196,Count,Person,"Age 64, All categories: Sex"
DC1117EW0197,Count,Person,"Age 64, Males"
DC1117EW0198,Count,Person,"Age 64, Females"
DC1117EW0199,Count,Person,"Age 65, All categories: Sex"
DC1117EW0200,Count,Person,"Age 65, Males"
DC1117EW0201,Count,Person,"Age 65, Females"
DC1117EW0202,Count,Person,"Age 66, All categories: Sex"
DC1117EW0203,Count,Person,"Age 66, Males"
DC1117EW0204,Count,Person,"Age 66, Females"
DC1117EW0205,Count,Person,"Age 67, All categories: Sex"
DC1117EW0206,Count,Person,"Age 67, Males"
DC1117EW0207,Count,Person,"Age 67, Females"
DC1117EW0208,Count,Person,"Age 68, All categories: Sex"
DC1117EW0209,Count,Person,"Age 68, Males"
DC1117EW0210,Count,Person,"Age 68, Females"
DC1117EW0211,Count,Person,"Age 69, All categories: Sex"
DC1117EW0212,Count,Person,"Age 69, Males"
DC1117EW0213,Count,Person,"Age 69, Females"
DC1117EW0214,Count,Person,"Age 70, All categories: Sex"
DC1117EW0215,Count,Person,"Age 70, Males"
DC1117EW0216,Count,Person,"Age 70, Females"
DC1117EW0217,Count,Person,"Age 71, All categories: Sex"
DC1117EW0218,Count,Person,"Age 71, Males"
DC1117EW0219,Count,Person,"Age 71, Females"
DC1117EW0220,Count,Person,"Age 72, All categories: Sex"
DC1117EW0221,Count,Person,"Age 72, Males"
DC1117EW0222,Count,Person,"Age 72, Females"
DC1117EW0223,Count,Person,"Age 73, All categories: Sex"
DC1117EW0224,Count,Person,"Age 73, Males"
DC1117EW0225,Count,Person,"Age 73, Females"
DC1117EW0226,Count,Person,"Age 74, All categories: Sex"
DC1117EW0227,Count,Person,"Age 74, Males"
DC1117EW0228,Count,Person,"Age 74, Females"
DC1117EW0229,Count,Person,"Age 75, All categories: Sex"
DC1117EW0230,Count,Person,"Age 75, Males"
DC1117EW0231,Count,Person,"Age 75, Females"
DC1117EW0232,Count,Person,"Age 76, All categories: Sex"
DC1117EW0233,Count,Person,"Age 76, Males"
DC1117EW0234,Count,Person,"Age 76, Females"
DC1117EW0235,Count,Person,"Age 77, All categories: Sex"
DC1117EW0236,Count,Person,"Age 77, Males"
DC1117EW0237,Count,Person,"Age 77, Females"
DC1117EW0238,Count,Person,"Age 78, All categories: Sex"
DC1117EW0239,Count,Person,"Age 78, Males"
DC1117EW0240,Count,Person,"Age 78, Females"
DC1117EW0241,Count,Person,"Age 79, All categories: Sex"
DC1117EW0242,Count,Person,"Age 79, Males"
DC1117EW0243,Count,Person,"Age 79, Females"
DC1117EW0244,Count,Person,"Age 80, All categories: Sex"
DC1117EW0245,Count,Person,"Age 80, Males"
DC1117EW0246,Count,Person,"Age 80, Females"
DC1117EW0247,Count,Person,"Age 81, All categories: Sex"
DC1117EW0248,Count,Person,"Age 81, Males"
DC1117EW0249,Count,Person,"Age 81, Females"
DC1117EW0250,Count,Person,"Age 82, All categories: Sex"
DC1117EW0251,Count,Person,"Age 82, Males"
DC1117EW0252,Count,Person,"Age 82, Females"
DC1117EW0253,Count,Person,"Age 83, All categories: Sex"
DC1117EW0254,Count,Person,"Age 83, Males"
DC1117EW0255,Count,Person,"Age 83, Females"
DC1117EW0256,Count,Person,"Age 84, All categories: Sex"
DC1117EW0257,Count,Person,"Age 84, Males"
DC1117EW0258,Count,Person,"Age 84, Females"
DC1117EW0259,Count,Person,"Age 85 and over, All categories: Sex"
DC1117EW0260,Count,Person,"Age 85 and over, Males"
DC1117EW0261,Count,Person,"Age 85 and over, Females"
